title,company,dday,views,badges,img_url
"[곽재선 문화재단] 2026 FLY, YOUNG ARTIST",곽재선 문화재단,D-2,"4,888","['예체능', '디자인']",https://cf-tabs-image.campuspick.com/activity/1763690906109356_thumb.jpg
워터멜론 레전드 에디션 음원 발매 컴피티션,워터멜론,D-33,164,['예체능'],https://cf-tabs-image.campuspick.com/activity/1766688012195288_thumb.jpg
MUVIS 스토리 공모전 시즌 1,이모션웨이브(주),마감,"2,700","['기획/아이디어', '문학/수기/시나리오', '예체능']",https://cf-tabs-image.campuspick.com/activity/1763615944834311_thumb.jpg
제2회 매경미디어그룹 AI 영상 광고·숏폼 공모전,매경미디어그룹,마감,"3,041","['기획/아이디어', '광고/마케팅', '사진/영상/UCC', '디자인', '예체능']",https://cf-tabs-image.campuspick.com/activity/1762933656943259_thumb.jpg
[곽재선문화재단x할리스 제4회 아트공모전] 마하 아트공모전,곽재선 문화재단,마감,"5,319","['디자인', '예체능']",https://cf-tabs-image.campuspick.com/activity/1761539456948493_thumb.jpg
2025 우리과일 요리경연대,농림축산식품부,마감,"1,114","['예체능', '기타']",https://cf-tabs-image.campuspick.com/activity/176104645640160_thumb.jpg
2025 이스포츠 대학리그 결선진출전(수도강원권) 대표 참가 대학 모집,문화체육관광부,마감,728,['예체능'],https://cf-tabs-image.campuspick.com/activity/1761041948165271_thumb.jpg
2026 에몬스 장학생 [18기] 모집,에몬스가구,마감,"7,138","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '사진/영상/UCC', '디자인', '예체능', '문학/수기/시나리오', 'IT/소프트웨어/게임']",https://cf-tabs-image.campuspick.com/activity/1761028066393147_thumb.jpg
<제23회 구민화합한마당대축제> 다양한 공모전 개최 중!,울산동구체육회,마감,903,"['사진/영상/UCC', '예체능', '기타']",https://cf-tabs-image.campuspick.com/activity/17605160228132_thumb.jpg
제 2회 감탄프렌즈 그리기대회,감탄떡볶이,마감,"1,957","['기획/아이디어', '사진/영상/UCC', '예체능']",https://cf-tabs-image.campuspick.com/activity/1760488463125530_thumb.jpg
🌟 2025년 마지막 기회! 청소년 제안 프로그램 Youth Speak,시립마포청소년센터,마감,"1,961","['기획/아이디어', '광고/마케팅', '예체능', '기타']",https://cf-tabs-image.campuspick.com/activity/176044163832182_thumb.jpg
