title,company,dday,views,badges,img_url
[해킹대회]한화손해보험 해킹대회 참여자 모집,한화손해보험,D-11,"1,060",['IT/소프트웨어/게임'],https://cf-tabs-image.campuspick.com/activity/1766486069933641_thumb.jpg
COLOR THE BEAT : 창작 협업 프로젝트,OPCD,D-6,"1,807","['IT/소프트웨어/게임', '사진/영상/UCC']",https://cf-tabs-image.campuspick.com/activity/1765342884269942_thumb.jpg
HAI(하이)! - Hecto AI Challenge : 2025 하반기,헥토,D-35,502,['IT/소프트웨어/게임'],https://cf-tabs-image.campuspick.com/activity/1766554188474586_thumb.jpg
AI 에이전트 서비스 개발 공모전 참가자 모집(총 상금 2억 원),구름,마감,"2,298",['IT/소프트웨어/게임'],https://cf-tabs-image.campuspick.com/activity/176610505360689_thumb.jpg
BIPAxVerse8 AI게임창작콘테스트 (연장),부산광역시,마감,"1,711","['IT/소프트웨어/게임', '기획/아이디어']",https://cf-tabs-image.campuspick.com/activity/1765264265059946_thumb.jpg
2026-1 Blaybus 인사이트톤,어치브모먼트,마감,"2,942","['기획/아이디어', 'IT/소프트웨어/게임']",https://cf-tabs-image.campuspick.com/activity/176515516788533_thumb.jpg
2025 버그바운티 부산 대회,"과학기술정보통신부, 부산광역시",마감,"1,760",['IT/소프트웨어/게임'],https://cf-tabs-image.campuspick.com/activity/1764736440759277_thumb.jpg
제 2회 NC AI ‘VARCO Vocie’ 활용 게임 제작 공모전,NC AI,마감,"2,189","['기획/아이디어', 'IT/소프트웨어/게임']",https://cf-tabs-image.campuspick.com/activity/1763376217563528_thumb.jpg
[부산관광공사] 2025 부산 관광·마이스 창업 트래블톤 참가자 모집,부산관광공사,마감,"1,513","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '사진/영상/UCC', 'IT/소프트웨어/게임', '기타', '디자인']",https://cf-tabs-image.campuspick.com/activity/1762502008641692_thumb.jpg
AI 라이프 솔루션 챌린지,한국산업기술기획평가원,마감,"3,538","['IT/소프트웨어/게임', '기타']",https://cf-tabs-image.campuspick.com/activity/1762265557333174_thumb.jpg
Memekathon Seoul 2025,MemeCore,마감,"3,263","['기획/아이디어', 'IT/소프트웨어/게임', '광고/마케팅']",https://cf-tabs-image.campuspick.com/activity/176224391562486_thumb.jpg
디지털 혁신 챌린지 2025,BNK금융그룹,마감,"2,770","['기획/아이디어', 'IT/소프트웨어/게임']",https://cf-tabs-image.campuspick.com/activity/1761877775215265_thumb.jpg
[부울경 20대 창업가 모집] 1:1 창업가 멘토와 함께하는 실전 창업,인액터스 코리아,마감,696,"['기획/아이디어', '기타', 'IT/소프트웨어/게임']",https://cf-tabs-image.campuspick.com/activity/1761807092432400_thumb.jpg
2026 에몬스 장학생 [18기] 모집,에몬스가구,마감,"7,138","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '사진/영상/UCC', '디자인', '예체능', '문학/수기/시나리오', 'IT/소프트웨어/게임']",https://cf-tabs-image.campuspick.com/activity/1761028066393147_thumb.jpg
2026 전국 대학생 자작 미래자동차 경진대회,영남대학교,마감,"1,745","['기획/아이디어', '디자인', 'IT/소프트웨어/게임']",https://cf-tabs-image.campuspick.com/activity/1761012920497267_thumb.jpg
SoftBank Hackathon 2025｜채용 연계 해커톤,SoftBank / Progate / KOREC,마감,"2,635",['IT/소프트웨어/게임'],https://cf-tabs-image.campuspick.com/activity/1760597869211457_thumb.jpg
[화이트햇 2025] 콘테스트 모집 공고,국방부 / 사이버작전사령부,마감,787,['IT/소프트웨어/게임'],https://cf-tabs-image.campuspick.com/activity/1759391194628323_thumb.jpg
2025년 「부산시민 모두를 위한 디지털 금융포용 정책 아이디어 」 공모,국립부경대학교,마감,"1,090","['기획/아이디어', 'IT/소프트웨어/게임', '기타']",https://cf-tabs-image.campuspick.com/activity/1759132170136774_thumb.jpg
딥페이크 범죄 대응을 위한 AI 탐지 모델 경진대회,행정안전부 / 한국정보지능사회진흥원,마감,"3,518",['IT/소프트웨어/게임'],https://cf-tabs-image.campuspick.com/activity/17588725110380_thumb.jpg
2025 해운·항만·물류 AX 혁신 아이디어 공모전,해양진흥공사,마감,"2,382","['기획/아이디어', 'IT/소프트웨어/게임']",https://cf-tabs-image.campuspick.com/activity/176181503787169_thumb.jpg
K - 해양 AI 챌린지,부산광역시,마감,"2,158","['기획/아이디어', 'IT/소프트웨어/게임']",https://cf-tabs-image.campuspick.com/activity/1758857977926212_thumb.jpg
코레일 해커톤 l 내일路(로) 해커톤 2025,"한국철도공사, 대전광역시",마감,"6,187","['기획/아이디어', 'IT/소프트웨어/게임', '기타']",https://cf-tabs-image.campuspick.com/activity/1760596366846215_thumb.jpg
"[농정원] 25년데이터안심구역경진대회+더블 이벤트(농협5만원,치킨)",K-DATA,마감,"2,115","['기획/아이디어', 'IT/소프트웨어/게임']",https://cf-tabs-image.campuspick.com/activity/1758703568527606_thumb.jpg
제 2회 게임문화 그림일기 및 광고 포스터 공모전,"한국게임산업협회, 한국콘텐츠진흥원",마감,"2,025","['디자인', '문학/수기/시나리오', 'IT/소프트웨어/게임']",https://cf-tabs-image.campuspick.com/activity/1758592607290320_thumb.jpg
