title,company,dday,views,badges,img_url
KPR 제23회 대학생 PR 아이디어 공모전,KPR,D-7,"2,118",['기획/아이디어'],https://cf-tabs-image.campuspick.com/activity/1765949978493570_thumb.jpg
덴티미 클리너 115 숏폼 공모전,바오메디텍,D-13,"1,077","['사진/영상/UCC', '기획/아이디어']",https://cf-tabs-image.campuspick.com/activity/1763346426588315_thumb.jpg
신세계사이먼 건축 공모전,신세계사이먼,D-24,58,"['기획/아이디어', '디자인']",https://cf-tabs-image.campuspick.com/activity/1766937245851763_thumb.jpg
K-문샷 프로젝트 대국민 공모전,한국연구재단,D-17,763,['기획/아이디어'],https://cf-tabs-image.campuspick.com/activity/1765927548926671_thumb.jpg
제4회 시장경제 스피치 대회,재단법인 자유기업원,D-24,868,['기획/아이디어'],https://cf-tabs-image.campuspick.com/activity/1765762212876604_thumb.jpg
2026 제5회 링글 서비스기획&마케팅 공모전,링글잉글리시에듀케이션서비스,D-74,"2,135","['기획/아이디어', '광고/마케팅']",https://cf-tabs-image.campuspick.com/activity/1765524508197721_thumb.jpg
나의건강기록 앱 ‘활용 경험’ 및 ‘발전 아이디어’공모전,한국보건의료정보원,D-16,"3,584","['기획/아이디어', '사진/영상/UCC', '문학/수기/시나리오']",https://cf-tabs-image.campuspick.com/activity/1765268774375496_thumb.jpg
[로레알코리아] 2026 로레알 브랜드스톰 공모전,로레알코리아,D-48,"6,109","['기획/아이디어', '광고/마케팅']",https://cf-tabs-image.campuspick.com/activity/1764727703331720_thumb.jpg
제16회 DB보험금융공모전(DB IFC) 참가신청,DB김준기문화재단,D-29,"10,463","['기획/아이디어', '문학/수기/시나리오']",https://cf-tabs-image.campuspick.com/activity/1763389912104414_thumb.jpg
제4회 창비 그림책상 공모,창비,D-32,"8,886","['기획/아이디어', '문학/수기/시나리오', '기타']",https://cf-tabs-image.campuspick.com/activity/1760846211569980_thumb.jpg
듀얼소닉 신상품 숏폼 영상 콘텐츠 공모전,지온메디텍 / 듀얼소닉,마감,786,"['기획/아이디어', '광고/마케팅', '사진/영상/UCC']",https://cf-tabs-image.campuspick.com/activity/1766125549825104_thumb.jpg
BIPAxVerse8 AI게임창작콘테스트 (연장),부산광역시,마감,"1,711","['IT/소프트웨어/게임', '기획/아이디어']",https://cf-tabs-image.campuspick.com/activity/1765264265059946_thumb.jpg
2026-1 Blaybus 인사이트톤,어치브모먼트,마감,"2,942","['기획/아이디어', 'IT/소프트웨어/게임']",https://cf-tabs-image.campuspick.com/activity/176515516788533_thumb.jpg
양재역 GTX-C 환승코어 네이밍 & 아이디어 공모전,서초구,마감,"2,932","['기획/아이디어', '브랜드/네이밍']",https://cf-tabs-image.campuspick.com/activity/1764752364563959_thumb.jpg
2025년 한국어촌어항공단 ESG·혁신 아이디어 공모전,한국어촌어항공단,마감,"2,781",['기획/아이디어'],https://cf-tabs-image.campuspick.com/activity/1764553612352428_thumb.jpg
2026 경제성장전략 대국민 공모전,기획재정부,마감,"1,876","['기획/아이디어', '브랜드/네이밍']",https://cf-tabs-image.campuspick.com/activity/1764305762496848_thumb.jpg
APBL 프로젝트-'대구시 관광 활성화' 아이디어 해커톤,경북대학교 라이즈사업단 R-LINC,마감,"1,682",['기획/아이디어'],https://cf-tabs-image.campuspick.com/activity/1764037683339997_thumb.jpg
[LG전자] LG전자 멤버십 앱 스플래시 콘텐츠 공모전(~12/17),LG전자,마감,"2,337","['기획/아이디어', '브랜드/네이밍', '사진/영상/UCC', '디자인']",https://cf-tabs-image.campuspick.com/activity/176394619478412_thumb.jpg
2025 COREA 장영실 창업 발명대전,"중소벤처기업부, 충청남도, 아산시, 창업진흥원, 충남RISE센터",마감,"2,900",['기획/아이디어'],https://cf-tabs-image.campuspick.com/activity/1763687682951857_thumb.jpg
MUVIS 스토리 공모전 시즌 1,이모션웨이브(주),마감,"2,700","['기획/아이디어', '문학/수기/시나리오', '예체능']",https://cf-tabs-image.campuspick.com/activity/1763615944834311_thumb.jpg
영동군 관광굿즈 디자인 공모전,영동군문화관광재단,마감,"2,375","['기획/아이디어', '디자인']",https://cf-tabs-image.campuspick.com/activity/1763439109253826_thumb.jpg
[우체국물류지원단] 2025 POLA 대학생 숏폼 영상 공모전,우체국물류지원단,마감,"3,013","['기획/아이디어', '광고/마케팅', '사진/영상/UCC']",https://cf-tabs-image.campuspick.com/activity/1763428803713160_thumb.jpg
제 2회 NC AI ‘VARCO Vocie’ 활용 게임 제작 공모전,NC AI,마감,"2,189","['기획/아이디어', 'IT/소프트웨어/게임']",https://cf-tabs-image.campuspick.com/activity/1763376217563528_thumb.jpg
해양폐기물 저감 및 재활용 인식증진 콘텐츠 공모전,해양수산부,마감,"3,261","['기획/아이디어', '디자인', '사진/영상/UCC']",https://cf-tabs-image.campuspick.com/activity/1763628489971799_thumb.jpg
2025년 무등산국립공원 국민참여 정책제안 공모전,무등산국립공원사무소,마감,"1,584",['기획/아이디어'],https://cf-tabs-image.campuspick.com/activity/176326009580563_thumb.jpg
"총상금 1,000만원! 2025년 충북 청년정책 제안 대회",충북인재평생교육진흥원,마감,"1,936",['기획/아이디어'],https://cf-tabs-image.campuspick.com/activity/1763102243546829_thumb.jpg
🎬 영상 공모전 '영상으로 그리는 GREEN 광주 시즌2',광주시청자미디어센터,마감,645,"['기획/아이디어', '사진/영상/UCC']",https://cf-tabs-image.campuspick.com/activity/1763019327625107_thumb.jpg
제2회 매경미디어그룹 AI 영상 광고·숏폼 공모전,매경미디어그룹,마감,"3,041","['기획/아이디어', '광고/마케팅', '사진/영상/UCC', '디자인', '예체능']",https://cf-tabs-image.campuspick.com/activity/1762933656943259_thumb.jpg
2025 K-슈즈 메이킹 챌린지 | 창의 신발 디자인 공모전,KIT경남정보대학교,마감,"1,076","['기획/아이디어', '디자인']",https://cf-tabs-image.campuspick.com/activity/1762755238993905_thumb.jpg
[부산관광공사] 2025 부산 관광·마이스 창업 트래블톤 참가자 모집,부산관광공사,마감,"1,513","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '사진/영상/UCC', 'IT/소프트웨어/게임', '기타', '디자인']",https://cf-tabs-image.campuspick.com/activity/1762502008641692_thumb.jpg
롯데쇼핑e커머스 뷰티 앱 트위즈(twiz) 카피라이팅 공모전,롯데쇼핑e커머스,마감,"3,501","['기획/아이디어', '브랜드/네이밍', '광고/마케팅']",https://cf-tabs-image.campuspick.com/activity/1762418828460614_thumb.jpg
2025 파파존스 레시피 공모전,한국파파존스(주),마감,"4,517","['기획/아이디어', '기타']",https://cf-tabs-image.campuspick.com/activity/1762392568793728_thumb.jpg
