title,company,dday,views,badges,img_url
2026 제5회 링글 서비스기획&마케팅 공모전,링글잉글리시에듀케이션서비스,D-74,"2,136","['기획/아이디어', '광고/마케팅']",https://cf-tabs-image.campuspick.com/activity/1765524508197721_thumb.jpg
[로레알코리아] 2026 로레알 브랜드스톰 공모전,로레알코리아,D-48,"6,109","['기획/아이디어', '광고/마케팅']",https://cf-tabs-image.campuspick.com/activity/1764727703331720_thumb.jpg
듀얼소닉 신상품 숏폼 영상 콘텐츠 공모전,지온메디텍 / 듀얼소닉,마감,786,"['기획/아이디어', '광고/마케팅', '사진/영상/UCC']",https://cf-tabs-image.campuspick.com/activity/1766125549825104_thumb.jpg
[우체국물류지원단] 2025 POLA 대학생 숏폼 영상 공모전,우체국물류지원단,마감,"3,013","['기획/아이디어', '광고/마케팅', '사진/영상/UCC']",https://cf-tabs-image.campuspick.com/activity/1763428803713160_thumb.jpg
제2회 매경미디어그룹 AI 영상 광고·숏폼 공모전,매경미디어그룹,마감,"3,041","['기획/아이디어', '광고/마케팅', '사진/영상/UCC', '디자인', '예체능']",https://cf-tabs-image.campuspick.com/activity/1762933656943259_thumb.jpg
[부산관광공사] 2025 부산 관광·마이스 창업 트래블톤 참가자 모집,부산관광공사,마감,"1,513","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '사진/영상/UCC', 'IT/소프트웨어/게임', '기타', '디자인']",https://cf-tabs-image.campuspick.com/activity/1762502008641692_thumb.jpg
롯데쇼핑e커머스 뷰티 앱 트위즈(twiz) 카피라이팅 공모전,롯데쇼핑e커머스,마감,"3,501","['기획/아이디어', '브랜드/네이밍', '광고/마케팅']",https://cf-tabs-image.campuspick.com/activity/1762418828460614_thumb.jpg
"한강버스 숏폼 공모전 쉼표 찍고, 숏폼 찍고!",서울특별시,마감,"2,123","['기획/아이디어', '사진/영상/UCC', '광고/마케팅']",https://cf-tabs-image.campuspick.com/activity/1764030547330305_thumb.jpg
Memekathon Seoul 2025,MemeCore,마감,"3,263","['기획/아이디어', 'IT/소프트웨어/게임', '광고/마케팅']",https://cf-tabs-image.campuspick.com/activity/176224391562486_thumb.jpg
[XYLO] KPOP 루키 브랜딩 전략 인턴쉽 연계 공모전,XYLO BLOCKCHAIN LABS - FZCO,마감,"2,758","['기획/아이디어', '광고/마케팅']",https://cf-tabs-image.campuspick.com/activity/1762237426279493_thumb.jpg
