title,company,dday,views,badges,img_url
[아모레퍼시픽] 2026 AI INNOVATION CHALLENGE,아모레퍼시픽,D-6,"3,840","['사진/영상/UCC', '디자인', '기타']",https://cf-tabs-image.campuspick.com/activity/1765949278918927_thumb.jpg
Meyou 생리대 패키지 콘테스트,(주)에이치아이글로넷,D-13,"2,240",['디자인'],https://cf-tabs-image.campuspick.com/activity/1765420916641528_thumb.jpg
"[곽재선 문화재단] 2026 FLY, YOUNG ARTIST",곽재선 문화재단,D-2,"4,888","['예체능', '디자인']",https://cf-tabs-image.campuspick.com/activity/1763690906109356_thumb.jpg
신세계사이먼 건축 공모전,신세계사이먼,D-24,58,"['기획/아이디어', '디자인']",https://cf-tabs-image.campuspick.com/activity/1766937245851763_thumb.jpg
2025 하우픽 랜더링 공모전,주식회사 하우픽,D-20,"1,225",['디자인'],https://cf-tabs-image.campuspick.com/activity/1764166703059381_thumb.jpg
제 4회 바이오헬스산업 홍보 콘텐츠 공모전,오송첨단의료산업진흥재단,마감,"2,160",['디자인'],https://cf-tabs-image.campuspick.com/activity/176403615565886_thumb.jpg
[LG전자] LG전자 멤버십 앱 스플래시 콘텐츠 공모전(~12/17),LG전자,마감,"2,337","['기획/아이디어', '브랜드/네이밍', '사진/영상/UCC', '디자인']",https://cf-tabs-image.campuspick.com/activity/176394619478412_thumb.jpg
성분명 처방 반대 공모전,서울특별시의사회,마감,"2,031","['사진/영상/UCC', '디자인']",https://cf-tabs-image.campuspick.com/activity/1763623453873129_thumb.jpg
영동군 관광굿즈 디자인 공모전,영동군문화관광재단,마감,"2,375","['기획/아이디어', '디자인']",https://cf-tabs-image.campuspick.com/activity/1763439109253826_thumb.jpg
해양폐기물 저감 및 재활용 인식증진 콘텐츠 공모전,해양수산부,마감,"3,261","['기획/아이디어', '디자인', '사진/영상/UCC']",https://cf-tabs-image.campuspick.com/activity/1763628489971799_thumb.jpg
제2회 매경미디어그룹 AI 영상 광고·숏폼 공모전,매경미디어그룹,마감,"3,041","['기획/아이디어', '광고/마케팅', '사진/영상/UCC', '디자인', '예체능']",https://cf-tabs-image.campuspick.com/activity/1762933656943259_thumb.jpg
2025 용산구 공사장 가설울타리 디자인 공모전(기간연장),용산구,마감,"1,081",['디자인'],https://cf-tabs-image.campuspick.com/activity/1762827528162425_thumb.jpg
2025 K-슈즈 메이킹 챌린지 | 창의 신발 디자인 공모전,KIT경남정보대학교,마감,"1,076","['기획/아이디어', '디자인']",https://cf-tabs-image.campuspick.com/activity/1762755238993905_thumb.jpg
[부산관광공사] 2025 부산 관광·마이스 창업 트래블톤 참가자 모집,부산관광공사,마감,"1,513","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '사진/영상/UCC', 'IT/소프트웨어/게임', '기타', '디자인']",https://cf-tabs-image.campuspick.com/activity/1762502008641692_thumb.jpg
시흥 해양레저관광 AI 이미지·영상 공모전,시흥도시공사,마감,"1,672","['사진/영상/UCC', '디자인']",https://cf-tabs-image.campuspick.com/activity/1762138092303837_thumb.jpg
한국교통연구원 개원 40주년 기념 엠블럼 및 슬로건 공모전 공고,한국교통연구원,마감,"4,414","['브랜드/네이밍', '디자인', '기획/아이디어', '광고/마케팅']",https://cf-tabs-image.campuspick.com/activity/1761552781552654_thumb.jpg
[곽재선문화재단x할리스 제4회 아트공모전] 마하 아트공모전,곽재선 문화재단,마감,"5,319","['디자인', '예체능']",https://cf-tabs-image.campuspick.com/activity/1761539456948493_thumb.jpg
2026 에몬스 장학생 [18기] 모집,에몬스가구,마감,"7,138","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '사진/영상/UCC', '디자인', '예체능', '문학/수기/시나리오', 'IT/소프트웨어/게임']",https://cf-tabs-image.campuspick.com/activity/1761028066393147_thumb.jpg
2026 전국 대학생 자작 미래자동차 경진대회,영남대학교,마감,"1,745","['기획/아이디어', '디자인', 'IT/소프트웨어/게임']",https://cf-tabs-image.campuspick.com/activity/1761012920497267_thumb.jpg
2025 금천구 인스타툰 공모전,금천구청,마감,680,"['기획/아이디어', '디자인']",https://cf-tabs-image.campuspick.com/activity/1760674875767832_thumb.jpg
K-아이웨어 디자인어워즈 2025,"한국안광학산업진흥원, 대구광역시",마감,871,['디자인'],https://cf-tabs-image.campuspick.com/activity/1760582705800125_thumb.jpg
가톨릭신문 로고 & 제호 디자인 공모전,가톨릭신문,마감,"2,283","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '디자인', '기타']",https://cf-tabs-image.campuspick.com/activity/1760433466889988_thumb.jpg
