title,company,dday,views,badges,img_url
2026 국가유산 재난안전 공모전,국가유산청,D-1,"3,030","['브랜드/네이밍', '사진/영상/UCC']",https://cf-tabs-image.campuspick.com/activity/1765950993491427_thumb.jpg
[아모레퍼시픽] 2026 AI INNOVATION CHALLENGE,아모레퍼시픽,D-6,"3,840","['사진/영상/UCC', '디자인', '기타']",https://cf-tabs-image.campuspick.com/activity/1765949278918927_thumb.jpg
COLOR THE BEAT : 창작 협업 프로젝트,OPCD,D-6,"1,807","['IT/소프트웨어/게임', '사진/영상/UCC']",https://cf-tabs-image.campuspick.com/activity/1765342884269942_thumb.jpg
덴티미 클리너 115 숏폼 공모전,바오메디텍,D-13,"1,077","['사진/영상/UCC', '기획/아이디어']",https://cf-tabs-image.campuspick.com/activity/1763346426588315_thumb.jpg
2025 경기관광 국제 AI 영상 공모전,경기관광공사,D-28,555,['사진/영상/UCC'],https://cf-tabs-image.campuspick.com/activity/1766393444858925_thumb.jpg
나의건강기록 앱 ‘활용 경험’ 및 ‘발전 아이디어’공모전,한국보건의료정보원,D-16,"3,584","['기획/아이디어', '사진/영상/UCC', '문학/수기/시나리오']",https://cf-tabs-image.campuspick.com/activity/1765268774375496_thumb.jpg
듀얼소닉 신상품 숏폼 영상 콘텐츠 공모전,지온메디텍 / 듀얼소닉,마감,786,"['기획/아이디어', '광고/마케팅', '사진/영상/UCC']",https://cf-tabs-image.campuspick.com/activity/1766125549825104_thumb.jpg
제4회 충남대학생영화제 공모,(사)한국영화인총연합회 충남지회,마감,991,['사진/영상/UCC'],https://cf-tabs-image.campuspick.com/activity/1764822445578827_thumb.jpg
전북 로컬 기반 숏폼 영상 챌린지 전북 크리에이터 챌린잼,전북특별자치도 콘텐츠융합진흥원,마감,354,['사진/영상/UCC'],https://cf-tabs-image.campuspick.com/activity/1764206653588254_thumb.jpg
[LG전자] LG전자 멤버십 앱 스플래시 콘텐츠 공모전(~12/17),LG전자,마감,"2,337","['기획/아이디어', '브랜드/네이밍', '사진/영상/UCC', '디자인']",https://cf-tabs-image.campuspick.com/activity/176394619478412_thumb.jpg
성분명 처방 반대 공모전,서울특별시의사회,마감,"2,031","['사진/영상/UCC', '디자인']",https://cf-tabs-image.campuspick.com/activity/1763623453873129_thumb.jpg
소성주 숏폼 영상 공모전,인천탁주/SY기획단,마감,573,['사진/영상/UCC'],https://cf-tabs-image.campuspick.com/activity/176525118642760_thumb.jpg
축산물 가격정보서비스 여기고기 숏폼 공모전,축산물품질평가원,마감,782,['사진/영상/UCC'],https://cf-tabs-image.campuspick.com/activity/1763440828378138_thumb.jpg
[우체국물류지원단] 2025 POLA 대학생 숏폼 영상 공모전,우체국물류지원단,마감,"3,013","['기획/아이디어', '광고/마케팅', '사진/영상/UCC']",https://cf-tabs-image.campuspick.com/activity/1763428803713160_thumb.jpg
해양폐기물 저감 및 재활용 인식증진 콘텐츠 공모전,해양수산부,마감,"3,261","['기획/아이디어', '디자인', '사진/영상/UCC']",https://cf-tabs-image.campuspick.com/activity/1763628489971799_thumb.jpg
🎬 영상 공모전 '영상으로 그리는 GREEN 광주 시즌2',광주시청자미디어센터,마감,645,"['기획/아이디어', '사진/영상/UCC']",https://cf-tabs-image.campuspick.com/activity/1763019327625107_thumb.jpg
제2회 매경미디어그룹 AI 영상 광고·숏폼 공모전,매경미디어그룹,마감,"3,041","['기획/아이디어', '광고/마케팅', '사진/영상/UCC', '디자인', '예체능']",https://cf-tabs-image.campuspick.com/activity/1762933656943259_thumb.jpg
전북 로컬 기반 숏폼 영상 챌린지 전북 크리에이터 챌린잼,전북특별자치도 콘텐츠융합진흥원,마감,950,['사진/영상/UCC'],https://cf-tabs-image.campuspick.com/activity/1762851136622612_thumb.jpg
[부산관광공사] 2025 부산 관광·마이스 창업 트래블톤 참가자 모집,부산관광공사,마감,"1,513","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '사진/영상/UCC', 'IT/소프트웨어/게임', '기타', '디자인']",https://cf-tabs-image.campuspick.com/activity/1762502008641692_thumb.jpg
안동 관광 숏폼 공모,(재)한국정신문화재단,마감,"1,310",['사진/영상/UCC'],https://cf-tabs-image.campuspick.com/activity/1762326762782930_thumb.jpg
"한강버스 숏폼 공모전 쉼표 찍고, 숏폼 찍고!",서울특별시,마감,"2,123","['기획/아이디어', '사진/영상/UCC', '광고/마케팅']",https://cf-tabs-image.campuspick.com/activity/1764030547330305_thumb.jpg
2025 HUSS 디지털 위험사회 문제해결 영상공모전,HUSS-위험사회 사업단,마감,"1,625",['사진/영상/UCC'],https://cf-tabs-image.campuspick.com/activity/1763342040745856_thumb.jpg
시흥 해양레저관광 AI 이미지·영상 공모전,시흥도시공사,마감,"1,672","['사진/영상/UCC', '디자인']",https://cf-tabs-image.campuspick.com/activity/1762138092303837_thumb.jpg
[XYLO] KPOP 루키 바이럴 숏폼 챌린지,XYLO BLOCKCHAIN LABS - FZCO,마감,733,['사진/영상/UCC'],https://cf-tabs-image.campuspick.com/activity/1762237417460272_thumb.jpg
(접수 기한 연장) 2025 미디어윤리 영상 콘텐츠 공모전,방송미디어통신위원회,마감,348,['사진/영상/UCC'],https://cf-tabs-image.campuspick.com/activity/1761974347825899_thumb.jpg
[교육부X머니투데이방송] 대학생 중소기업 광고공모전,머니투데이방송,마감,"2,475","['광고/마케팅', '사진/영상/UCC']",https://cf-tabs-image.campuspick.com/activity/1761894416234392_thumb.jpg
2025년도 KAIA AI 홍보영상 공모전,국토교통과학기술진흥원,마감,"1,326",['사진/영상/UCC'],https://cf-tabs-image.campuspick.com/activity/1761872789122781_thumb.jpg
2025 부산 웰니스 관광 아이디어 공모전,"부산광역시, 부산관광공사",마감,"1,596","['기획/아이디어', '광고/마케팅', '사진/영상/UCC']",https://cf-tabs-image.campuspick.com/activity/17617978944781_thumb.jpg
2025 제주감귤박람회 황감제 청년농업인 아이디어 경진대회,제주감귤박람회,마감,"1,376","['기획/아이디어', '사진/영상/UCC']",https://cf-tabs-image.campuspick.com/activity/176179131455272_thumb.jpg
2025년 한국유학 홍보 숏폼 영상 공모전,교육부,마감,964,['사진/영상/UCC'],https://cf-tabs-image.campuspick.com/activity/1761802625341403_thumb.jpg
