title,company,dday,views,badges,img_url
전 국민 신용회복지원 수기 공모전,한국신용정보원,D-33,389,['문학/수기/시나리오'],https://cf-tabs-image.campuspick.com/activity/1766025412246810_thumb.jpg
나의건강기록 앱 ‘활용 경험’ 및 ‘발전 아이디어’공모전,한국보건의료정보원,D-16,"3,584","['기획/아이디어', '사진/영상/UCC', '문학/수기/시나리오']",https://cf-tabs-image.campuspick.com/activity/1765268774375496_thumb.jpg
제16회 DB보험금융공모전(DB IFC) 참가신청,DB김준기문화재단,D-29,"10,463","['기획/아이디어', '문학/수기/시나리오']",https://cf-tabs-image.campuspick.com/activity/1763389912104414_thumb.jpg
제4회 창비 그림책상 공모,창비,D-32,"8,887","['기획/아이디어', '문학/수기/시나리오', '기타']",https://cf-tabs-image.campuspick.com/activity/1760846211569980_thumb.jpg
제3회 사회평론 어린이·청소년 스토리대상 공모,(주)사회평론,D-92,"5,029",['문학/수기/시나리오'],https://cf-tabs-image.campuspick.com/activity/1760572716812371_thumb.jpg
대학혁신지원사업 수기 공모전,한국연구재단,마감,"2,040",['문학/수기/시나리오'],https://cf-tabs-image.campuspick.com/activity/1764063027514403_thumb.jpg
MUVIS 스토리 공모전 시즌 1,이모션웨이브(주),마감,"2,700","['기획/아이디어', '문학/수기/시나리오', '예체능']",https://cf-tabs-image.campuspick.com/activity/1763615944834311_thumb.jpg
2025년 농넷 활용사례 수기 공모전,한국농수산식품유통공사,마감,"1,985","['기획/아이디어', '문학/수기/시나리오', '기타']",https://cf-tabs-image.campuspick.com/activity/1762310525133738_thumb.jpg
2026 에몬스 장학생 [18기] 모집,에몬스가구,마감,"7,138","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '사진/영상/UCC', '디자인', '예체능', '문학/수기/시나리오', 'IT/소프트웨어/게임']",https://cf-tabs-image.campuspick.com/activity/1761028066393147_thumb.jpg
제30회 농민신문 신춘문예 작품 공모,농민신문,마감,"2,876",['문학/수기/시나리오'],https://cf-tabs-image.campuspick.com/activity/1760922529744238_thumb.jpg
제 2회 스터디 플래너 고3 응원 공모전,DreamTale,마감,"3,636",['문학/수기/시나리오'],https://cf-tabs-image.campuspick.com/activity/1760083835204176_thumb.jpg
