title,company,dday,views,badges,img_url
[아모레퍼시픽] 2026 AI INNOVATION CHALLENGE,아모레퍼시픽,D-6,"3,842","['사진/영상/UCC', '디자인', '기타']",https://cf-tabs-image.campuspick.com/activity/1765949278918927_thumb.jpg
학산문화사 제3회 장르불문 웹툰 공모전,(주) 학산문화사,D-60,352,['기타'],https://cf-tabs-image.campuspick.com/activity/1766563724872459_thumb.jpg
제4회 창비 그림책상 공모,창비,D-32,"8,887","['기획/아이디어', '문학/수기/시나리오', '기타']",https://cf-tabs-image.campuspick.com/activity/1760846211569980_thumb.jpg
2025 레진 장편 공모전,레진 엔터테인먼트,마감,"1,815",['기타'],https://cf-tabs-image.campuspick.com/activity/1763530765530194_thumb.jpg
[부산관광공사] 2025 부산 관광·마이스 창업 트래블톤 참가자 모집,부산관광공사,마감,"1,513","['기획/아이디어', '브랜드/네이밍', '광고/마케팅', '사진/영상/UCC', 'IT/소프트웨어/게임', '기타', '디자인']",https://cf-tabs-image.campuspick.com/activity/1762502008641692_thumb.jpg
2025 파파존스 레시피 공모전,한국파파존스(주),마감,"4,517","['기획/아이디어', '기타']",https://cf-tabs-image.campuspick.com/activity/1762392568793728_thumb.jpg
2025년 농넷 활용사례 수기 공모전,한국농수산식품유통공사,마감,"1,985","['기획/아이디어', '문학/수기/시나리오', '기타']",https://cf-tabs-image.campuspick.com/activity/1762310525133738_thumb.jpg
AI 라이프 솔루션 챌린지,한국산업기술기획평가원,마감,"3,538","['IT/소프트웨어/게임', '기타']",https://cf-tabs-image.campuspick.com/activity/1762265557333174_thumb.jpg
[부울경 20대 창업가 모집] 1:1 창업가 멘토와 함께하는 실전 창업,인액터스 코리아,마감,696,"['기획/아이디어', '기타', 'IT/소프트웨어/게임']",https://cf-tabs-image.campuspick.com/activity/1761807092432400_thumb.jpg
2025 엔카닷컴 AI 개발/서비스기획 공모,엔카닷컴,마감,"1,468","['기획/아이디어', '기타']",https://cf-tabs-image.campuspick.com/activity/1761698499871435_thumb.jpg
